Company_Name,Job_Role,Experience,Location,Salary,Date_posted,Review,Rating
Standard Chartered Life And Careers,"Associate Manager, Product Control GBS",2-5 Yrs,Bengaluru,Not disclosed,Just Now,,
Hindustan Unilever (HUL),Research Executive,1-10 Yrs,Bengaluru,Not disclosed,Few Hours Ago,6329 Reviews,4.2
Hindustan Unilever (HUL),Junior Finance Manager - SCFS Deliver SEAI,3-7 Yrs,Bengaluru,Not disclosed,Few Hours Ago,6329 Reviews,4.2
Simplilearn,Product Manager,3-5 Yrs,Bengaluru(HSR Layout),Not disclosed,Just Now,687 Reviews,3.2
Dr Lal PathLabs,Regional Manager (Home Collection) - Bangalore,4-8 Yrs,Bengaluru,Not disclosed,Just Now,1589 Reviews,4.2
Top Rated B2B Industrial Automation Firm,Supplier Quality Development (On Randstad Payroll For Bommasandra),3-8 Yrs,Bengaluru,3-5 Lacs PA,Just Now,,
Align Techne,Cribl and Data Engineer,4-6 Yrs,"Bangalore Rural, Bengaluru",Not disclosed,Just Now,,
Align Techne,Power Bi Developer,2-4 Yrs,"Bangalore Rural, Bengaluru",Not disclosed,Just Now,,
Align Techne,Data center HPC Specialist,6-8 Yrs,"Bangalore Rural, Bengaluru",Not disclosed,Just Now,,
NTT DATA,Senior Engineer - Wireless L2,3-8 Yrs,Hybrid - Bengaluru,Not disclosed,Just Now,4070 Reviews,3.8
Shahi,Assistant Manager-Fabric Sourcing (Knits) @ Bengaluru,5-10 Yrs,Bengaluru(Hulimavu),Not disclosed,Just Now,1824 Reviews,4.0
Deloitte,Etl Tester,2-4 Yrs,Bengaluru,Not disclosed,Few Hours Ago,18455 Reviews,3.8
Starbucks,AM - Legal,2-4 Yrs,"Bangalore Rural, Bengaluru",6-9 Lacs PA,Few Hours Ago,697 Reviews,4.3
Tata Consultancy Services,KYC Analyst,19 Apr,Bengaluru,Not disclosed,Few Hours Ago,93445 Reviews,3.7
Anheuser Busch InBev,AM-Executive Assistant (Contractual),3-8 Yrs,Bengaluru,Not disclosed,Today,1260 Reviews,3.3
Tracxn,Tracxn - LiveDeals - Sourcing & Evangelist,2-6 Yrs,Bengaluru,Not disclosed,Today,485 Reviews,3.1
Trigent Software,Recruiter Specialist,15 Apr - 19 Apr,Bengaluru,Not disclosed,Today,532 Reviews,3.5
Teleperformance (TP),Speech Analyst (Bangalore - Night shifts),3-8 Yrs,Bengaluru,Not disclosed,1 Day Ago,30929 Reviews,3.9
United World Academy A Unit Of CSR Educational Trust,Maths Teacher,2-7 Yrs,Bengaluru(Sarjapura +1),8.5-13 Lacs PA,1 Day Ago,,
Tech Mahindra,Network Security-Palo Alto,6-11 Yrs,Bengaluru(Electronic City),Not disclosed,1 Day Ago,36542 Reviews,3.5
BPO,Hiring For Process Delivery Specialist(Onboarding specialist)_Bangalor,2-4 Yrs,Bengaluru,2.5-3 Lacs PA,1 Day Ago,,
Delhivery,Team Lead - Last Mile Operations - Bangalore,1-6 Yrs,Bengaluru(R T Nagar +5),3-4 Lacs PA,1 Day Ago,6331 Reviews,3.8
Cisco,Software Engineer,4-9 Yrs,Hybrid - Bengaluru,Not disclosed,1 Day Ago,1876 Reviews,4.2
Berger Paints,Asst. Area Sales Manager (AASM) - Project Sales |Repainting Bangalore,5-9 Yrs,Bengaluru,8.5-13 Lacs PA,1 Day Ago,3223 Reviews,3.7
Berger Paints,Asst. Area Sales Manager (AASM) - Retail Sales || Bangalore,5-9 Yrs,Bengaluru,8.5-13 Lacs PA,1 Day Ago,3223 Reviews,3.7
Trigent Software,Technical Recruiter ( Product Hiring),5-8 Yrs,Bengaluru,Not disclosed,1 Day Ago,532 Reviews,3.5
KPMG Assurance and Consulting Services LLP,Risk Advisory Internal Audit Executive,2-4 Yrs,Bengaluru,Not disclosed,1 Day Ago,5751 Reviews,3.5
Trigent Software,IT Recruiter,1-5 Yrs,Bengaluru,3-5 Lacs PA,1 Day Ago,532 Reviews,3.5
Tata Consultancy Services,Walk in Drive_Bangalore_19_ April_SAP-ABAP/FICO/ServiceNow/salesforce,19 Apr,Bengaluru,Not disclosed,1 Day Ago,93445 Reviews,3.7
Hdfc Bank,Personal Banker Sales - Bangalore - Interview drive on 16th April'25,16 Apr,Bengaluru(Gottigere +3),2.75-4.5 Lacs PA,1 Day Ago,41250 Reviews,3.9
KPMG Assurance and Consulting Services LLP,Technology Enablement Design Thinking Assistant Manager,6-8 Yrs,Bengaluru,Not disclosed,1 Day Ago,5751 Reviews,3.5
Digital Marketing Specialist,Digital Marketing Specialist || MNC || Bangalore,3-8 Yrs,Bengaluru,8-14 Lacs PA,1 Day Ago,,
Deloitte,Indirect Tax Executive- Bangalore,1-5 Yrs,Bengaluru,Not disclosed,1 Day Ago,18455 Reviews,3.8
KPMG Assurance and Consulting Services LLP,Forensic Inv - AML/KYC (Associate Consultant - Bangalore ) - FTS Role,2-4 Yrs,Bengaluru,Not disclosed,1 Day Ago,5751 Reviews,3.5
KPMG Assurance and Consulting Services LLP,D365 F&O Functional-Associate Director-Bangalore,13-17 Yrs,Bengaluru,Not disclosed,1 Day Ago,5751 Reviews,3.5
Align Techne,Azure Architect,8-13 Yrs,"Bangalore Rural, Bengaluru",Not disclosed,1 Day Ago,,
Randstad Global,Senior Account Manager - Client Manager,8-13 Yrs,Bengaluru,Not disclosed,1 Day Ago,,
Tech Mahindra,Sap PPQM Consultant,7-10 Yrs,Bengaluru,Not disclosed,1 Day Ago,36542 Reviews,3.5
Tech Mahindra,SAP PPQM Lead,15-17 Yrs,Bengaluru,Not disclosed,1 Day Ago,36542 Reviews,3.5
Tech Mahindra,Sap Fico Lead,15-17 Yrs,Bengaluru,Not disclosed,1 Day Ago,36542 Reviews,3.5
Trigent Software,It Recruiter,1-4 Yrs,Bengaluru,2-5 Lacs PA,1 Day Ago,532 Reviews,3.5
Tech Mahindra,Supplier Quality Auditor - Direct Contract - Bangalore,4-9 Yrs,Bengaluru,Not disclosed,1 Day Ago,36542 Reviews,3.5
Management Consulting,Hiring For IT AUDIT,5-10 Yrs,"Hybrid - Bangalore Rural, Bengaluru",Not disclosed,1 Day Ago,,
NoBroker,Telesales Executive,0-4 Yrs,"Bangalore Rural, Bengaluru(Sarjapur Road)",2.5-3.5 Lacs PA,1 Day Ago,2135 Reviews,3.2
Tracxn,Tracxn - Manager - Media Relations (10 - 12 years),10-12 Yrs,Bengaluru,Not disclosed,1 Day Ago,485 Reviews,3.1
Capgemini,Capgemini Hiring Automation Testers (Java Selenium with BDD),16 Apr,Hybrid - Bengaluru,Not disclosed,1 Day Ago,43852 Reviews,3.7
Larsen & Toubro (L&T),System Engineer,7-12 Yrs,Bengaluru,Not disclosed,1 Day Ago,19360 Reviews,3.9
Trigent Software,Consultant / Mortgage,0 Yrs,Bengaluru,2-2.5 Lacs PA,4 Days Ago,532 Reviews,3.5
Amazon,MHLS Advisor (Direct Contract) - Work from Home Opportunity,0-5 Yrs,Remote,4-4.5 Lacs PA,4 Days Ago,26125 Reviews,4.0
HCLTech,Java Developer,3-8 Yrs,Hybrid - Bengaluru(Jigani),13-23 Lacs PA,Few Hours Ago,37707 Reviews,3.5
2coms,Tele-Collections Executive - Bangalore,0-5 Yrs,Bengaluru,Not disclosed,4 Days Ago,402 Reviews,3.4
Flex,Engineer / Senior Engineer - Material Planning,5-10 Yrs,Bengaluru,Not disclosed,1 Day Ago,2427 Reviews,4.0
Bangalore Gastro Centre Hospitals P L,Duty Medical Officer,0-3 Yrs,Bengaluru(Sector 1 HSR Layout),Not disclosed,5 Days Ago,2 Reviews,4.3
PwC India,Associate - CA Freshers | Forensics,0-1 Yrs,Hybrid - Bengaluru,Not disclosed,4 Days Ago,9623 Reviews,3.4
Careernet,Sourcing Specialist,0 Yrs,Hybrid - Bengaluru,Not disclosed,5 Days Ago,,
Simplilearn,Senior Inside Sales Executive (Posted by Sadhana),0-5 Yrs,Bengaluru(Sector 2 HSR Layout),4.75-7.5 Lacs PA,5 Days Ago,687 Reviews,3.2
"NTT DATA, Inc.",Helpdesk Associate - L1 Technical Guidance,0-3 Yrs,Bengaluru,Not disclosed,5 Days Ago,2991 Reviews,4.0
"NTT DATA, Inc.",Helpdesk Senior Representative - Fresher,0-2 Yrs,Bengaluru,Not disclosed,5 Days Ago,2991 Reviews,4.0
Siemens,Process Associate - Purchase To Pay,0-3 Yrs,Bengaluru,Not disclosed,5 Days Ago,4923 Reviews,4.1
Siemens,Process Associate - Purchase To Pay,0-3 Yrs,Bengaluru,Not disclosed,5 Days Ago,4923 Reviews,4.1
Wipro,Lab45 - Senior Architect - Emerging Technologies & Innovation,0-5 Yrs,Bengaluru,Not disclosed,6 Days Ago,55026 Reviews,3.7
Unacademy,Operations Intern,0-2 Yrs,Bengaluru,Not disclosed,6 Days Ago,2000 Reviews,3.0
Mphasis,WalkIn @ Mphasis on 15th April | Customer Support (Voice) | Bangalore,0-2 Yrs,Bengaluru,Not disclosed,6 Days Ago,8680 Reviews,3.4
EY,Consultant - TAX - TMT - TAX - Indirect Tax - Core,0-4 Yrs,Bengaluru,Not disclosed,7 Days Ago,11290 Reviews,3.4
Kirloskar Brothers Limited,Hiring For - Graduate Engineer Trainee - Freshers Hiring,0-1 Yrs,"Hubli, Bengaluru, Belgaum",4-4.25 Lacs PA,7 Days Ago,895 Reviews,3.8
Trigent Software,Customer Support Non Voice - Freshers,0 Yrs,Bengaluru,2.25-2.5 Lacs PA,7 Days Ago,532 Reviews,3.5
Hitachi Cash Management Services,Cash Executive - Night Shift,0-2 Yrs,"Bangalore Rural, Bengaluru",1.5-2 Lacs PA,7 Days Ago,394 Reviews,3.5
2coms,Field Executive opening in a leading Fintech company Bangalore,0-5 Yrs,Bengaluru,Not disclosed,7 Days Ago,402 Reviews,3.4
IQVIA,Safety Associate,0-2 Yrs,"Kolkata, Bengaluru",Not disclosed,7 Days Ago,4250 Reviews,3.9
Quest Global,Piping Stress Engineer,5-10 Yrs,"Chennai, Bengaluru",Not disclosed,1 Day Ago,2468 Reviews,3.6
Tracxn,Tracxn - AVP - Technical Sales (B2B) - API Product,10-20 Yrs,Bengaluru,Not disclosed,1 Day Ago,485 Reviews,3.1
Croma,Associate - Regional/Catchment Marketing @ Croma - A TATA Enterprise,2-5 Yrs,"Bhopal, Chennai, Bengaluru",Not disclosed,1 Day Ago,2563 Reviews,4.0
Hdfc Bank,GIB Area Head - Bangalore - Interview on 16th April'25,16 Apr,Bengaluru(Old Airport Road),18-30 Lacs PA,1 Day Ago,41250 Reviews,3.9
Hdfc Bank,Imperia Clients RM - Bangalore - Interview drive on 16th April'25,16 Apr,Bengaluru(Old Airport Road +1),10-20 Lacs PA,1 Day Ago,41250 Reviews,3.9
Felicity Adobe Llp,Senior Executive / Asst Manager,3-5 Yrs,Bengaluru,Not disclosed,Just Now,6 Reviews,4.8
Larsen & Toubro (L&T),Quality with Risk Management,7-12 Yrs,Bengaluru,Not disclosed,Just Now,19360 Reviews,3.9
Infosys,Dot Net Developer-Hyderabad,2-7 Yrs,Hybrid - Bengaluru,Not disclosed,Few Hours Ago,41032 Reviews,3.6
Trigent Software,Hiring For Non voice (Fresher) - Night Shift - Bangalore / Salem,0 Yrs,"Salem, Bengaluru","50,000-2 Lacs PA",1 Day Ago,532 Reviews,3.5
Caterpillar Inc,Accounting Associate,2-4 Yrs,Bengaluru,Not disclosed,Just Now,1316 Reviews,4.2
Simplilearn,Learning Designer,1-4 Yrs,Bengaluru,1-5 Lacs PA,Today,687 Reviews,3.2
Hdfc Bank,Relationship Banking Head (RBH) - Bangalore - Interview on 16th Apr'25,16 Apr,Bengaluru(Old Airport Road +1),18-30 Lacs PA,1 Day Ago,41250 Reviews,3.9
Hdfc Bank,Preferred Relationship Manager- Bangalore- Interview on 16th April'25,16 Apr,Bengaluru(Old Airport Road +1),8-17 Lacs PA,1 Day Ago,41250 Reviews,3.9
Hdfc Bank,Branch Sales Manager - Bangalore - Interview on 16th April'25,16 Apr,Bengaluru(Domlur Layout +1),5-15 Lacs PA,1 Day Ago,41250 Reviews,3.9
Infosys,Infotainment System Engineer,7-10 Yrs,Chennai,Not disclosed,Just Now,41032 Reviews,3.6
Capgemini,GoLang Developer,4-9 Yrs,Gurugram,Not disclosed,Just Now,43852 Reviews,3.7
Infosys,Telematics Embedded Engineer,5-10 Yrs,Chennai,Not disclosed,Few Hours Ago,41032 Reviews,3.6
Standard Chartered Life And Careers,"DTL - Data Analytics, WRB Tech",7-12 Yrs,Chennai,Not disclosed,Just Now,,
Standard Chartered Life And Careers,VP- Front End Engineering (Bangalore/Chennai/Tianjin),10-14 Yrs,Chennai,Not disclosed,Just Now,,
Standard Chartered Life And Careers,VP - Site Reliability Engineering (Chennai/Kuala Lumpur/Bangalore),10-16 Yrs,Chennai,Not disclosed,Just Now,,
Standard Chartered Life And Careers,VP - Product Specialist Bangalore/Chennai,9-14 Yrs,Chennai,Not disclosed,Just Now,,
Standard Chartered Life And Careers,"Specialist, FCSO Transaction Screening",5-10 Yrs,Chennai,Not disclosed,Just Now,,
Standard Chartered Life And Careers,"Senior Manager - Product Specialist TAP, WRB Tech(Bangalore/Chennai)",6-9 Yrs,Chennai,Not disclosed,Just Now,,
Standard Chartered Life And Careers,"Manager, Private Banking",4-8 Yrs,Chennai,Not disclosed,Just Now,,
Hitachi Energy,Project Engineer - Structural Steel Engineer,6-10 Yrs,Chennai,Not disclosed,Few Hours Ago,721 Reviews,4.1
KPMG Assurance and Consulting Services LLP,Risk Advisory Internal Audit Manager,9-13 Yrs,Chennai,Not disclosed,1 Day Ago,5751 Reviews,3.5
Berger Paints,Project Sales Officer || Purnia,2-5 Yrs,Purnia,4-8 Lacs PA,1 Day Ago,3223 Reviews,3.7
Berger Paints,Project Sales Officer || Purnia,2-5 Yrs,Purnia,4-8 Lacs PA,1 Day Ago,3223 Reviews,3.7
KPMG Assurance and Consulting Services LLP,Risk Advisory Internal Audit Executive,2-4 Yrs,Gurugram,Not disclosed,1 Day Ago,5751 Reviews,3.5
Fosroc Chemicals,Development Chemist(Grouts),3-6 Yrs,Nelamangala,4-5.5 Lacs PA,Just Now,297 Reviews,4.4
Trigent Software,Consultant / Mortgage,0 Yrs,Salem,2-2.5 Lacs PA,4 Days Ago,532 Reviews,3.5
PwC Service Delivery Center,IN-Associate_CDD_ DDV_ Advisory_Gurgaon/Mumbai/Bangalore,0-3 Yrs,Gurugram,Not disclosed,5 Days Ago,9623 Reviews,3.4
Cytel,Third Party Contractor,6-8 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,Just Now,48 Reviews,4.4
Croma,Cashier,4-8 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,4 Days Ago,2563 Reviews,4.0
Marriott,Sous Chef,4-7 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,4 Days Ago,1325 Reviews,4.2
Marriott,Hygiene Officer,2-4 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,4 Days Ago,1325 Reviews,4.2
Marriott,F&B and Event Service Expert,1-4 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,4 Days Ago,1325 Reviews,4.2
Marriott,Bartender - Food and Beverage Service,1-5 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,4 Days Ago,1325 Reviews,4.2
Marriott,AsstMgr-Banquets,2-4 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,4 Days Ago,1325 Reviews,4.2
Marriott,Asst Mgr-Loss Prevention,3-6 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,4 Days Ago,1325 Reviews,4.2
Marriott,Assistant Manager-Housekeeping,1-5 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,4 Days Ago,1325 Reviews,4.2
Juniper Networks,Software Engineer 2 - Build Systems and Tools Developer,1-3 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,4 Days Ago,429 Reviews,4.2
Baker Hughes,Lead AI & Software Engineer,8-10 Yrs,"Mumbai, Hyderabad, Pune, Gurugram, Bengaluru",Not disclosed,5 Days Ago,486 Reviews,4.0
Marriott,Director Of Operations,4-7 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,5 Days Ago,1325 Reviews,4.2
Marriott,Commis II,1-2 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,5 Days Ago,1325 Reviews,4.2
Marriott,Asst Mgr-Credit,11-12 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,5 Days Ago,1325 Reviews,4.2
ALLIANZ SERVICES PRIVATE LIMITED,Associate Director-Risk & Control,10-14 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,5 Days Ago,451 Reviews,4.3
Marriott,Assistant Manager-Housekeeping,1-5 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,4 Days Ago,1325 Reviews,4.2
Juniper Networks,Software Engineer 2 - Build Systems and Tools Developer,1-3 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,4 Days Ago,429 Reviews,4.2
Baker Hughes,Lead AI & Software Engineer,8-10 Yrs,"Mumbai, Hyderabad, Pune, Gurugram, Bengaluru",Not disclosed,5 Days Ago,486 Reviews,4.0
Marriott,Director Of Operations,4-7 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,5 Days Ago,1325 Reviews,4.2
Marriott,Commis II,1-2 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,5 Days Ago,1325 Reviews,4.2
Marriott,Asst Mgr-Credit,11-12 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,5 Days Ago,1325 Reviews,4.2
ALLIANZ SERVICES PRIVATE LIMITED,Associate Director-Risk & Control,10-14 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,5 Days Ago,451 Reviews,4.3
Starbucks,Shift Supervisor,1-2 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,5 Days Ago,697 Reviews,4.3
Concentrix,Mainframe and COBOL Developer,1-5 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,5 Days Ago,27388 Reviews,3.7
Concentrix,Java and React Fullstack Lead Developer,2-3 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,5 Days Ago,27388 Reviews,3.7
Concentrix,Application Support Engineer,4-5 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,5 Days Ago,27388 Reviews,3.7
Concentrix,Power Automate Developer,4-7 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,5 Days Ago,27388 Reviews,3.7
Concentrix,Java Spring boot Microservices Developer,5-6 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,5 Days Ago,27388 Reviews,3.7
Concentrix,Dot Net Full Stack Professional(.Net Core 8.0 + React JS),6-8 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,5 Days Ago,27388 Reviews,3.7
Concentrix,DotNet Developer,6-9 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,5 Days Ago,27388 Reviews,3.7
Concentrix,Mainframe and COBOL Developer,8-12 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,5 Days Ago,27388 Reviews,3.7
Concentrix,Senior Manager,12-15 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,5 Days Ago,27388 Reviews,3.7
Marriott,Housekeeping Executive,1-5 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,6 Days Ago,1325 Reviews,4.2
Marriott,Housekeeping Executive,1-5 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,6 Days Ago,1325 Reviews,4.2
Marriott,Cluster IT Manager,3-7 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,6 Days Ago,1325 Reviews,4.2
Marriott,Chef De Partie,4-6 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,6 Days Ago,1325 Reviews,4.2
Marriott,Assistant Food and Beverage Manager,3-5 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,6 Days Ago,1325 Reviews,4.2
JPMorgan Chase Bank,Software Engineer III - Java,3-8 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,7 Days Ago,6424 Reviews,3.9
Concentrix,Service Cloud / Agent-force Developer,3-5 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,7 Days Ago,27388 Reviews,3.7
Thales,Regional Sales Manager - CyberSecurity,3-7 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,7 Days Ago,384 Reviews,3.6
Concentrix,MEAN Stack Developer,5-7 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,7 Days Ago,27388 Reviews,3.7
Concentrix,AEM Frontend developer - Angular/React/Typescript/Node.js,5-7 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,7 Days Ago,27388 Reviews,3.7
Concentrix,iOS Sr. Developer,5-8 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,7 Days Ago,27388 Reviews,3.7
Concentrix,Java - PLSQL Developer,5-8 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,7 Days Ago,27388 Reviews,3.7
Marriott,Sales Executive,2-6 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,7 Days Ago,1325 Reviews,4.2
Marriott,Sales Coordinator,1-3 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,7 Days Ago,1325 Reviews,4.2
Marriott,Recreation and Wellness Manager,2-5 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,7 Days Ago,1325 Reviews,4.2
Marriott,Loyalty Manager,4-7 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,7 Days Ago,1325 Reviews,4.2
Marriott,Learning & Development Manager,4-7 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,7 Days Ago,1325 Reviews,4.2
Marriott,Kitchen Steward Associate,3-5 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,7 Days Ago,1325 Reviews,4.2
Marriott,General Cashier,1-5 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,7 Days Ago,1325 Reviews,4.2
Marriott,Front Office Executive,1-5 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,7 Days Ago,1325 Reviews,4.2
Marriott,Food and Beverage Executive,2-6 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,7 Days Ago,1325 Reviews,4.2
Marriott,Executive Assistant To General Manager,3-11 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,7 Days Ago,1325 Reviews,4.2
Marriott,Event Associate / Executive,1-5 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,7 Days Ago,1325 Reviews,4.2
Marriott,Director of Human Resource,3-7 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,7 Days Ago,1325 Reviews,4.2
JPMorgan Chase Bank,Sales Support Associate,7-8 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,7 Days Ago,6424 Reviews,3.9
Amazon,"Trasportation Specialist, CENTRAL OPERATIONS",0-6 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,8 Days Ago,26126 Reviews,4.0
Fractal Analytics,Senior Engineer_ MLOPs_ 5 To 10yrs,5-10 Yrs,"Noida, Mumbai, Pune, Chennai, Gurugram, Bengaluru",Not disclosed,4 Days Ago,830 Reviews,4.0
Radisson Hotel Group,Housekeeping Co-ordinator,1-3 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,5 Days Ago,1951 Reviews,4.0
Radisson Hotel Group,Barista,1-4 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,5 Days Ago,1951 Reviews,4.0
Radisson Hotel Group,Accountant,5-7 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,5 Days Ago,1951 Reviews,4.0
Capco,Financial Accounting - Capital & Statistical Reporting,3-7 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,5 Days Ago,543 Reviews,3.7
Radisson Hotel Group,Demi Chef de Partie,2-7 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,5 Days Ago,1951 Reviews,4.0
Radisson Hotel Group,Executive Chef,3-6 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,5 Days Ago,1951 Reviews,4.0
Radisson Hotel Group,Assistant Food and Beverage Services Manager,12-17 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,5 Days Ago,1951 Reviews,4.0
IHG Hotels & Resorts,IT Supervisor,4-7 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,6 Days Ago,599 Reviews,3.8
IHG Hotels & Resorts,IT Manager,8-15 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,6 Days Ago,599 Reviews,3.8
Trigent Software,Sr Sap FICO Consultant,7-12 Yrs,"Pune, Bengaluru, Mumbai (All Areas)",Not disclosed,6 Days Ago,532 Reviews,3.5
Infosys,Java Developer (Pan India),5-10 Yrs,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",Not disclosed,4 Days Ago,41032 Reviews,3.6
