Company_Name,Job_Role,Experience,Location,Salary,Date_posted,Review,Rating
Sun Life Global Solutions,Ingenium Developer,10-18 Yrs,"Hybrid - Gurugram(Sector 62 Gurgaon), Bengaluru(Marathahalli)",Not disclosed,6 Days Ago,53 Reviews,4.0
Wissen Infotech,Finance Executive,17 Apr,Bengaluru(ITPL),"50,000-2.75 Lacs PA",Few Hours Ago,517 Reviews,3.7
Axis Bank,Relationship Manager Sales For Working capital-Deputy Manager,3-8 Yrs,Bengaluru(Electronic City +3),5-7 Lacs PA,Just Now,26488 Reviews,3.7
Globiva,Walk in Drive Globiva Blr Walk in and walkout with Offer,15 Apr,Bengaluru(Marathahalli),2-3 Lacs PA,Just Now,1536 Reviews,3.1
Genisys Information Systems,Junior Executive - Data Management,17 Apr - 22 Apr,Bengaluru(Whitefield),2-2.5 Lacs PA,Few Hours Ago,234 Reviews,3.7
Wissen Infotech,Finance Executive,17 Apr,Bengaluru(ITPL),"50,000-2.75 Lacs PA",Few Hours Ago,517 Reviews,3.7
upGrad,Kotak Bank 811 Relationship Officers,0 Yrs,Bengaluru(Koramangala +2),2.5-3.25 Lacs PA,Few Hours Ago,,
Rivera Manpower Services,Hiring For Mphasis/UG FRE/GRADS/EXP/Sal upto 4.5lpa Immediate joining!,0-5 Yrs,Bengaluru(Mahadevpura),1-4.5 Lacs PA,1 Day Ago,,
Tesco,Senior Retail Store Planner,3-6 Yrs,Hybrid - Bengaluru(Whitefield),Not disclosed,6 Days Ago,1316 Reviews,3.8
Creative Synergies,Urgent Opening For Fast API developer (Full Stack) with React JS,6-9 Yrs,Bengaluru(Whitefield),5-13 Lacs PA,3 Days Ago,425 Reviews,3.9
Firm in Auto Components Sector,Technical Learning Manager,4-7 Yrs,Bengaluru(Whitefield),Not disclosed,4 Days Ago,,
Sutherland,Lead - Trainer,5-10 Yrs,Bengaluru(Whitefield),Not disclosed,4 Days Ago,7293 Reviews,3.5
Spocto Solutions,Hiring For Telecaller ( Collection Process),16 Apr - 22 Apr,Bengaluru(Whitefield),1.5-3 Lacs PA,Just Now,81 Reviews,3.4
Phoenix Mills,Executive- Fire & Safety,3-7 Yrs,Bengaluru(Whitefield),Not disclosed,6 Days Ago,288 Reviews,3.9
Sutherland,Urgent Hiring For Claims Specialist,1-6 Yrs,Bengaluru(Kundalahalli),Not disclosed,3 Days Ago,7293 Reviews,3.5
Tesco,Lead Analyst-Property Insights,5-7 Yrs,Hybrid - Bengaluru(Whitefield),Not disclosed,5 Days Ago,1316 Reviews,3.8
Tesco,Senior Analyst-App Software Development & Maintenance,4-6 Yrs,Hybrid - Bengaluru(Whitefield),Not disclosed,6 Days Ago,1316 Reviews,3.8
Leading Manufacturing Company,Senior HR Recruitment and HRBP- Manufacturing (White Field),6-8 Yrs,Bengaluru(Whitefield +1),Not disclosed,4 Days Ago,,
Global Talent Track,Electric vehicle Trainer - 40k CTC ( Gross ),3-5 Yrs,Bengaluru(Jalahalli +2),4-4.5 Lacs PA,8 Days Ago,103 Reviews,3.4
J2W,IT Recruiter - WALK IN DRIVE,17 Apr,Bengaluru(Marathahalli),1-4 Lacs PA,Just Now,,
Gopalan Foundation,Administration Executive,2-6 Yrs,Bengaluru(Hoodi),Not disclosed,Just Now,2 Reviews,4.0
AECOM,Administration Executive,7-10 Yrs,"Bangalore Rural, Bengaluru(Whitefield)",3-4 Lacs PA,Few Hours Ago,,
RIVERA MANPOWER SERVICES,JP Morgan Chase Hiring For International Voice/ Min 1yr exp/ CTC 7.5L,1-6 Yrs,Bengaluru(Bellandur +1),3-7.5 Lacs PA,1 Day Ago,,
Future Focus Infotech,Java Support Engineer,4-9 Yrs,Bengaluru(Whitefield),Not disclosed,1 Day Ago,,
Future Focus Infotech,NextJS Developer,4-9 Yrs,Bengaluru(Whitefield),Not disclosed,1 Day Ago,,
Future Focus Infotech,Angular Developer,4-9 Yrs,Bengaluru(Whitefield),Not disclosed,1 Day Ago,,
Future Focus Infotech,Java Developer,4-9 Yrs,Bengaluru(Whitefield),Not disclosed,1 Day Ago,,
Future Focus Infotech,React JS Developer,4-9 Yrs,Bengaluru(Whitefield),Not disclosed,1 Day Ago,,
Alldigi Tech,Customer Care Executive,14 Apr - 20 Apr,Bengaluru(Ashok Nagar +6),Not disclosed,3 Days Ago,2180 Reviews,4.0
Swastik Stepstone Careers,Hiring For International and Domestic voice process,0-4 Yrs,Bengaluru(Electronic City +3),2-5.5 Lacs PA,3 Days Ago,,
Rivera Manpower Services,EVENT Hiring For Freshers/ Accenture/ Concentrix/Infosys/UPTO 4 LPA,0 Yrs,Bangalore/Bengaluru(Bellandur +3),3-4.5 Lacs PA,3 Days Ago,,
Rivera Manpower,Immediate Hiring!! International Voice Process /Fresher & Experience,0-3 Yrs,Bangalore/Bengaluru(Bellandur +3),2.75-7 Lacs PA,3 Days Ago,,
Swastik Stepstone Careers,Interesting Requirement ! For MNC BPO Companies For Fresher & Exp,0-5 Yrs,Bengaluru(Bellandur +5),2-4.75 Lacs PA,3 Days Ago,,
The Hr Bulb,"M.Sc Physics For Academic Research Analyst, Bangalore",11 Apr - 20 Apr,Bengaluru(Richmond Road +1),3-5 Lacs PA (Including Variable: 10.0%),4 Days Ago,,
Swastik Stepstone Careers,Customer Support Executive || Freshers Can APPLY Salary UPTO 6LPA,0-5 Yrs,Bengaluru(Bellandur +3),3-6.5 Lacs PA,4 Days Ago,,
NVT Quality,Legal Manager,12-15 Yrs,Bengaluru(Whitefield),Not disclosed,Just Now,18 Reviews,3.8
K12 Techno Services,Visual Arts Teacher,0-2 Yrs,Bengaluru(Horamavu Banaswadi +9),2-2.5 Lacs PA,6 Days Ago,1260 Reviews,2.9
Swastik Stepstone Careers,Hiring For hindi voice process,0-4 Yrs,Bengaluru(Electronic City +3),2-5.5 Lacs PA,6 Days Ago,,
K12 Techno Services,Dance Teacher,0-2 Yrs,Bengaluru(Horamavu Banaswadi +3),2-2.5 Lacs PA,6 Days Ago,1260 Reviews,2.9
K12 Techno Services,Drama/Theatre Teacher,0-2 Yrs,Bengaluru(Horamavu Banaswadi +6),2-2.5 Lacs PA,6 Days Ago,1260 Reviews,2.9
Manufacturing,Associate Trainee,0-1 Yrs,Bengaluru(Whitefield),1-2 Lacs PA,6 Days Ago,,
Swastik Stepstone Careers,Interesting Requirement ! For MNC BPO Companies For Fresher & Exp,0-5 Yrs,Bengaluru(Bellandur +5),2-3.75 Lacs PA,6 Days Ago,,
RIVERA MANPOWER SERVICES,Immediate Hiring!! International Voice Process /Fresher & Experience,0-3 Yrs,Bangalore/Bengaluru(Bellandur +3),2.75-7 Lacs PA,6 Days Ago,,
Fenyes Engineered Technology,Master Data Management Analyst,4-8 Yrs,Bangalore/Bengaluru(Whitefield),Not disclosed,1 Day Ago,20 Reviews,2.4
Trigent Software,MSP (Resource Analyst II),5-10 Yrs,Hybrid - Bengaluru(Marathahalli),7-9 Lacs PA,8 Days Ago,532 Reviews,3.5
Interio Mart,Interior Designer,3-5 Yrs,Bengaluru(Banaswadi +4),3.5-5 Lacs PA,3 Days Ago,2 Reviews,1.8
Axa Xl,"Analyst, Data Privacy- Bangalore Location Only",2-4 Yrs,Hybrid - Bengaluru(Varthur +2),Not disclosed,Just Now,405 Reviews,3.7
Livspace,interior Supply Associate,1-4 Yrs,Bengaluru(Marathahalli),2.5-4 Lacs PA,5 Days Ago,1325 Reviews,3.6
Avalon Technologies,Smt Engineer,14 Apr - 17 Apr,Bangalore/Bengaluru(Whitefield),3-8 Lacs PA,8 Days Ago,529 Reviews,3.7
All For Kids,Women Part-time Teachers : English elocution,0-5 Yrs,Bangalore/Bengaluru(HSR Layout +4),Not disclosed,6 Days Ago,12 Reviews,4.5
ORCHIDS THE INTERNATIONAL SCHOOL,Drama Teacher,15 Apr - 24 Apr,Bengaluru(Panathur),"60,000-3 Lacs PA",1 Day Ago,1260 Reviews,2.9
ORCHIDS THE INTERNATIONAL SCHOOL,Drama Teacher,15 Apr - 24 Apr,Bengaluru(Kadugodi),"50,000-3 Lacs PA",1 Day Ago,1260 Reviews,2.9
ORCHIDS THE INTERNATIONAL SCHOOL,Music Teacher,15 Apr - 24 Apr,Bengaluru(Panathur),"50,000-3 Lacs PA",1 Day Ago,1260 Reviews,2.9
Avalon Technologies,Assistant Manager - Quality,8-10 Yrs,Bengaluru(Whitefield),6-7.5 Lacs PA,Today,529 Reviews,3.7
Brains N Skills,Horticulturist/landscape in charge-Male-Bangalore,5-10 Yrs,Bengaluru(Marathahalli),1-5.5 Lacs PA,Few Hours Ago,,
Amor Systems Llc,Peoplesoft Financial Consultant/Developer,5-9 Yrs,Bengaluru(Marathahalli),20-35 Lacs PA,Today,,
Recruit Value,Voice Process Executive,0-2 Yrs,Bengaluru(HSR Layout +1),2.75-4 Lacs PA,1 Day Ago,,
Coforge,Full Stack /Senior Software Engineer,5-10 Yrs,Hybrid - Bengaluru(Whitefield),Not disclosed,1 Day Ago,5040 Reviews,3.3
"Techno Commercial MNC, Bidadi, Bangalore",Accounts Executive Costing,1-2 Yrs,Bangalore/Bengaluru(Vijay Nagar +2),2.25-3.5 Lacs PA,1 Day Ago,,
Glympse Human Capital Services,"Hiring For International Voice process , Salary upto 55K+Inc",1-5 Yrs,Bangalore/ Bengaluru(Electronic City +4),5-6.5 Lacs PA,1 Day Ago,,
IonIdea,Onsite - We are Hiring Experienced US Technical Recruiters,1-2 Yrs,Bengaluru(Whitefield),3-6 Lacs PA,8 Days Ago,137 Reviews,3.4
Sourcetrendz Consulting,Sales Executive,0-1 Yrs,Bengaluru(Shivaji Nagar),1.75-2.75 Lacs PA,5 Days Ago,,
Tesco,Senior Associate-Process Audit,3-6 Yrs,Bengaluru(Whitefield),Not disclosed,6 Days Ago,1316 Reviews,3.8
Rivera manpower,JPMC Hiring/ Mini 1yr International Voice exp/US Shifts/ Upto 7.5L,1-6 Yrs,Bengaluru(Bellandur +1),3-7.5 Lacs PA,3 Days Ago,,
Sourcetrendz Consulting,Sales Executive,0-1 Yrs,Bengaluru(Shivaji Nagar),1.75-2.75 Lacs PA,5 Days Ago,,
Tesco,Senior Associate-Process Audit,3-6 Yrs,Bengaluru(Whitefield),Not disclosed,6 Days Ago,1316 Reviews,3.8
Rivera manpower,JPMC Hiring/ Mini 1yr International Voice exp/US Shifts/ Upto 7.5L,1-6 Yrs,Bengaluru(Bellandur +1),3-7.5 Lacs PA,3 Days Ago,,
The Job Factory,Hiring HR Recruiter/Souring Specialist /Day Shift,0-1 Yrs,Bengaluru(Shivaji Nagar),2-3.5 Lacs PA,3 Days Ago,,
Firstsource,Join FirstSource as a Customer Support Associate! International Voice,0-5 Yrs,Bengaluru(Brookefield +1),1-3.75 Lacs PA,5 Days Ago,4752 Reviews,3.6
J2W,IT Recruiter,1-4 Yrs,Bengaluru(Marathahalli),1-4 Lacs PA,3 Days Ago,,
ACL Digital,Gen AI Developer,3-8 Yrs,Hybrid - Bengaluru(Marathahalli),Not disclosed,4 Days Ago,745 Reviews,3.6
Confidential Engineering company,Office Assistant / Secretary To Director | East Bangalore,5-10 Yrs,"Bengaluru(Whitefield +1), East Bangalore, Whitefield",6-12 Lacs PA,4 Days Ago,,
